source,target,relation,weight
rs_rh_pct,https://sensorwf.org/ontologies/climate#RelativeHumidity,evidenceForClass,0.001
rs_VPmax_mbar,https://sensorwf.org/ontologies/climate#SaturationVapourPressure,evidenceForClass,0.001
rs_VPact_mbar,https://sensorwf.org/ontologies/climate#ActualVapourPressure,evidenceForClass,0.001
rs_VPdef_mbar,https://sensorwf.org/ontologies/climate#VapourPressureDeficit,evidenceForClass,0.001
rs_sh_gkg,https://sensorwf.org/ontologies/climate#SpecificHumidity,evidenceForClass,0.001
rs_H2OC_mmolmol,https://sensorwf.org/ontologies/climate#WaterVapourConcentration,evidenceForClass,0.001
rs_rho_gm3,https://sensorwf.org/ontologies/climate#AirDensity,evidenceForClass,0.001
rs_wv_ms,https://sensorwf.org/ontologies/climate#WindSpeed,evidenceForClass,0.001
rs_max_wv_ms,https://sensorwf.org/ontologies/climate#MaxWindSpeed,evidenceForClass,0.001
rs_wd_deg,https://sensorwf.org/ontologies/climate#WindDirection,evidenceForClass,0.001
sk_p_mbar,https://sensorwf.org/ontologies/climate#AtmosphericPressure,evidenceForClass,0.001
sk_T_degC,https://sensorwf.org/ontologies/climate#Temperature,evidenceForClass,0.001
sk_Tpot_K,https://sensorwf.org/ontologies/climate#PotentialTemperature,evidenceForClass,0.001
sk_Tdew_degC,https://sensorwf.org/ontologies/climate#DewPointTemperature,evidenceForClass,0.001
sk_rh_pct,https://sensorwf.org/ontologies/climate#RelativeHumidity,evidenceForClass,0.001
sk_VPmax_mbar,https://sensorwf.org/ontologies/climate#SaturationVapourPressure,evidenceForClass,0.001
sk_VPact_mbar,https://sensorwf.org/ontologies/climate#ActualVapourPressure,evidenceForClass,0.001
sk_VPdef_mbar,https://sensorwf.org/ontologies/climate#VapourPressureDeficit,evidenceForClass,0.001
sk_sh_gkg,https://sensorwf.org/ontologies/climate#SpecificHumidity,evidenceForClass,0.001
sk_H2OC_mmolmol,https://sensorwf.org/ontologies/climate#WaterVapourConcentration,evidenceForClass,0.001
sk_rho_gm3,https://sensorwf.org/ontologies/climate#AirDensity,evidenceForClass,0.001
sk_wv_ms,https://sensorwf.org/ontologies/climate#WindSpeed,evidenceForClass,0.001
sk_max_wv_ms,https://sensorwf.org/ontologies/climate#MaxWindSpeed,evidenceForClass,0.001
sk_wd_deg,https://sensorwf.org/ontologies/climate#WindDirection,evidenceForClass,0.001
ku_p_mbar,https://sensorwf.org/ontologies/climate#AtmosphericPressure,evidenceForClass,0.001
ku_T_degC,https://sensorwf.org/ontologies/climate#Temperature,evidenceForClass,0.001
ku_Tpot_K,https://sensorwf.org/ontologies/climate#PotentialTemperature,evidenceForClass,0.001
ku_Tdew_degC,https://sensorwf.org/ontologies/climate#DewPointTemperature,evidenceForClass,0.001
ku_rh_pct,https://sensorwf.org/ontologies/climate#RelativeHumidity,evidenceForClass,0.001
ku_VPmax_mbar,https://sensorwf.org/ontologies/climate#SaturationVapourPressure,evidenceForClass,0.001
ku_VPact_mbar,https://sensorwf.org/ontologies/climate#ActualVapourPressure,evidenceForClass,0.001
ku_VPdef_mbar,https://sensorwf.org/ontologies/climate#VapourPressureDeficit,evidenceForClass,0.001
ku_sh_gkg,https://sensorwf.org/ontologies/climate#SpecificHumidity,evidenceForClass,0.001
ku_H2OC_mmolmol,https://sensorwf.org/ontologies/climate#WaterVapourConcentration,evidenceForClass,0.001
ku_rho_gm3,https://sensorwf.org/ontologies/climate#AirDensity,evidenceForClass,0.001
ku_wv_ms,https://sensorwf.org/ontologies/climate#WindSpeed,evidenceForClass,0.001
ku_max_wv_ms,https://sensorwf.org/ontologies/climate#MaxWindSpeed,evidenceForClass,0.001
ku_wd_deg,https://sensorwf.org/ontologies/climate#WindDirection,evidenceForClass,0.001
zcr_p_mbar,https://sensorwf.org/ontologies/climate#AtmosphericPressure,evidenceForClass,0.001
zcr_T_degC,https://sensorwf.org/ontologies/climate#Temperature,evidenceForClass,0.001
zcr_Tpot_K,https://sensorwf.org/ontologies/climate#PotentialTemperature,evidenceForClass,0.001
zcr_Tdew_degC,https://sensorwf.org/ontologies/climate#DewPointTemperature,evidenceForClass,0.001
zcr_rh_pct,https://sensorwf.org/ontologies/climate#RelativeHumidity,evidenceForClass,0.001
zcr_VPmax_mbar,https://sensorwf.org/ontologies/climate#SaturationVapourPressure,evidenceForClass,0.001
zcr_VPact_mbar,https://sensorwf.org/ontologies/climate#ActualVapourPressure,evidenceForClass,0.001
zcr_VPdef_mbar,https://sensorwf.org/ontologies/climate#VapourPressureDeficit,evidenceForClass,0.001
zcr_sh_gkg,https://sensorwf.org/ontologies/climate#SpecificHumidity,evidenceForClass,0.001
zcr_H2OC_mmolmol,https://sensorwf.org/ontologies/climate#WaterVapourConcentration,evidenceForClass,0.001
zcr_rho_gm3,https://sensorwf.org/ontologies/climate#AirDensity,evidenceForClass,0.001
zcr_wv_ms,https://sensorwf.org/ontologies/climate#WindSpeed,evidenceForClass,0.001
zcr_max_wv_ms,https://sensorwf.org/ontologies/climate#MaxWindSpeed,evidenceForClass,0.001
zcr_wd_deg,https://sensorwf.org/ontologies/climate#WindDirection,evidenceForClass,0.001
se_p_mbar,https://sensorwf.org/ontologies/climate#AtmosphericPressure,evidenceForClass,0.001
se_T_degC,https://sensorwf.org/ontologies/climate#Temperature,evidenceForClass,0.001
se_Tpot_K,https://sensorwf.org/ontologies/climate#PotentialTemperature,evidenceForClass,0.001
se_Tdew_degC,https://sensorwf.org/ontologies/climate#DewPointTemperature,evidenceForClass,0.001
se_rh_pct,https://sensorwf.org/ontologies/climate#RelativeHumidity,evidenceForClass,0.001
se_VPmax_mbar,https://sensorwf.org/ontologies/climate#SaturationVapourPressure,evidenceForClass,0.001
se_VPact_mbar,https://sensorwf.org/ontologies/climate#ActualVapourPressure,evidenceForClass,0.001
se_VPdef_mbar,https://sensorwf.org/ontologies/climate#VapourPressureDeficit,evidenceForClass,0.001
se_sh_gkg,https://sensorwf.org/ontologies/climate#SpecificHumidity,evidenceForClass,0.001
se_H2OC_mmolmol,https://sensorwf.org/ontologies/climate#WaterVapourConcentration,evidenceForClass,0.001
se_rho_gm3,https://sensorwf.org/ontologies/climate#AirDensity,evidenceForClass,0.001
se_wv_ms,https://sensorwf.org/ontologies/climate#WindSpeed,evidenceForClass,0.001
se_max_wv_ms,https://sensorwf.org/ontologies/climate#MaxWindSpeed,evidenceForClass,0.001
se_wd_deg,https://sensorwf.org/ontologies/climate#WindDirection,evidenceForClass,0.001
df_p_mbar,https://sensorwf.org/ontologies/climate#AtmosphericPressure,evidenceForClass,0.001
df_T_degC,https://sensorwf.org/ontologies/climate#Temperature,evidenceForClass,0.001
df_Tpot_K,https://sensorwf.org/ontologies/climate#PotentialTemperature,evidenceForClass,0.001
df_Tdew_degC,https://sensorwf.org/ontologies/climate#DewPointTemperature,evidenceForClass,0.001
df_rh_pct,https://sensorwf.org/ontologies/climate#RelativeHumidity,evidenceForClass,0.001
df_VPmax_mbar,https://sensorwf.org/ontologies/climate#SaturationVapourPressure,evidenceForClass,0.001
df_VPact_mbar,https://sensorwf.org/ontologies/climate#ActualVapourPressure,evidenceForClass,0.001
df_VPdef_mbar,https://sensorwf.org/ontologies/climate#VapourPressureDeficit,evidenceForClass,0.001
df_sh_gkg,https://sensorwf.org/ontologies/climate#SpecificHumidity,evidenceForClass,0.001
df_H2OC_mmolmol,https://sensorwf.org/ontologies/climate#WaterVapourConcentration,evidenceForClass,0.001
df_rho_gm3,https://sensorwf.org/ontologies/climate#AirDensity,evidenceForClass,0.001
df_wv_ms,https://sensorwf.org/ontologies/climate#WindSpeed,evidenceForClass,0.001
df_max_wv_ms,https://sensorwf.org/ontologies/climate#MaxWindSpeed,evidenceForClass,0.001
df_wd_deg,https://sensorwf.org/ontologies/climate#WindDirection,evidenceForClass,0.001
