sample_idx,prediction,ground_truth,cycles,inf_us,stack_used_bytes,attack_type
166,0,1,118,1.6389,64,smurf
167,0,1,134,1.8611,64,smurf
168,1,1,125,1.7361,64,normal
169,1,1,117,1.625,64,normal
170,0,1,119,1.6528,64,normal
171,0,1,117,1.625,64,normal
172,0,1,118,1.6389,64,normal
173,0,1,107,1.4861,64,normal
174,1,1,116,1.6111,64,normal
175,1,1,122,1.6944,64,saint
176,0,1,118,1.6389,64,saint
177,1,1,118,1.6389,64,saint
178,0,1,121,1.6806,64,saint
179,1,1,112,1.5556,64,saint
180,0,0,108,1.5,64,saint
181,0,0,96,1.3333,64,saint
182,0,0,117,1.625,64,neptune
183,0,0,120,1.6667,64,neptune
184,1,0,129,1.7917,64,neptune
185,0,0,106,1.4722,64,neptune
186,0,0,108,1.5,64,neptune
187,0,0,116,1.6111,64,neptune
188,0,0,113,1.5694,64,neptune
189,0,0,128,1.7778,64,guess_passwd
190,0,0,121,1.6806,64,guess_passwd
191,0,0,113,1.5694,64,guess_passwd
192,0,1,120,1.6667,64,guess_passwd
193,1,1,128,1.7778,64,guess_passwd
194,0,1,121,1.6806,64,guess_passwd
195,0,1,114,1.5833,64,guess_passwd
196,0,1,127,1.7639,64,smurf
197,0,1,129,1.7917,64,smurf
198,1,1,117,1.625,64,smurf
199,1,1,121,1.6806,64,smurf
