sample_idx,prediction,ground_truth,cycles,inf_us,stack_used_bytes,attack_type
108,0,0,121,1.6806,64,normal
109,0,0,108,1.5,64,normal
110,0,0,127,1.7639,64,normal
111,0,0,100,1.3889,64,normal
112,0,0,104,1.4444,64,mscan
113,0,0,113,1.5694,64,mscan
114,1,1,121,1.6806,64,mscan
115,0,1,109,1.5139,64,mscan
116,0,1,114,1.5833,64,mscan
117,1,1,115,1.5972,64,mscan
118,0,1,103,1.4306,64,mscan
119,0,1,116,1.6111,64,warezmaster
120,1,1,115,1.5972,64,warezmaster
121,1,1,119,1.6528,64,warezmaster
122,1,1,116,1.6111,64,warezmaster
123,1,1,115,1.5972,64,warezmaster
124,0,1,110,1.5278,64,warezmaster
125,1,1,115,1.5972,64,warezmaster
126,0,0,126,1.75,64,normal
127,0,0,115,1.5972,64,normal
128,0,0,108,1.5,64,normal
129,0,0,119,1.6528,64,normal
130,0,0,115,1.5972,64,normal
131,0,0,120,1.6667,64,normal
132,0,1,125,1.7361,64,normal
133,1,1,103,1.4306,64,apache2
134,1,1,115,1.5972,64,apache2
135,1,1,119,1.6528,64,apache2
136,1,1,115,1.5972,64,apache2
137,0,1,102,1.4167,64,apache2
138,1,1,129,1.7917,64,apache2
139,1,1,108,1.5,64,apache2
140,0,1,121,1.6806,64,neptune
141,0,1,121,1.6806,64,neptune
142,1,1,112,1.5556,64,neptune
143,0,1,102,1.4167,64,neptune
144,0,0,110,1.5278,64,neptune
145,0,0,116,1.6111,64,neptune
146,0,0,100,1.3889,64,neptune
147,0,0,121,1.6806,64,normal
148,0,0,103,1.4306,64,normal
149,0,0,119,1.6528,64,normal
150,1,1,98,1.3611,64,normal
151,1,1,100,1.3889,64,normal
152,1,1,125,1.7361,64,normal
153,0,1,102,1.4167,64,normal
154,0,1,118,1.6389,64,neptune
155,0,1,132,1.8333,64,neptune
156,1,1,124,1.7222,64,neptune
157,1,1,109,1.5139,64,neptune
158,1,1,115,1.5972,64,neptune
159,1,1,127,1.7639,64,neptune
160,1,1,109,1.5139,64,neptune
161,1,1,120,1.6667,64,smurf
162,0,1,123,1.7083,64,smurf
163,0,1,118,1.6389,64,smurf
164,0,1,117,1.625,64,smurf
165,0,1,112,1.5556,64,smurf
166,0,1,119,1.6528,64,smurf
167,0,1,109,1.5139,64,smurf
168,1,1,94,1.3056,64,normal
169,1,1,119,1.6528,64,normal
170,0,1,116,1.6111,64,normal
171,0,1,112,1.5556,64,normal
172,0,1,107,1.4861,64,normal
173,0,1,122,1.6944,64,normal
174,1,1,107,1.4861,64,normal
175,1,1,112,1.5556,64,saint
176,0,1,124,1.7222,64,saint
177,1,1,111,1.5417,64,saint
178,0,1,124,1.7222,64,saint
179,1,1,115,1.5972,64,saint
180,0,0,103,1.4306,64,saint
181,0,0,119,1.6528,64,saint
182,0,0,125,1.7361,64,neptune
183,0,0,112,1.5556,64,neptune
184,1,0,110,1.5278,64,neptune
185,0,0,120,1.6667,64,neptune
186,0,0,118,1.6389,64,neptune
187,0,0,116,1.6111,64,neptune
188,0,0,127,1.7639,64,neptune
189,0,0,111,1.5417,64,guess_passwd
190,0,0,111,1.5417,64,guess_passwd
191,0,0,121,1.6806,64,guess_passwd
192,0,1,135,1.875,64,guess_passwd
193,1,1,112,1.5556,64,guess_passwd
194,0,1,113,1.5694,64,guess_passwd
195,0,1,114,1.5833,64,guess_passwd
196,0,1,98,1.3611,64,smurf
197,0,1,119,1.6528,64,smurf
198,1,1,134,1.8611,64,smurf
199,1,1,118,1.6389,64,smurf
200,1,1,90,1.25,64,smurf
201,1,1,112,1.5556,64,smurf
202,1,1,124,1.7222,64,smurf
203,1,1,125,1.7361,64,neptune
204,0,1,108,1.5,64,neptune
205,1,1,122,1.6944,64,neptune
206,0,1,119,1.6528,64,neptune
207,0,1,117,1.625,64,neptune
208,0,1,109,1.5139,64,neptune
209,0,1,115,1.5972,64,neptune
210,0,0,105,1.4583,64,normal
211,0,0,127,1.7639,64,normal
212,0,0,111,1.5417,64,normal
213,0,0,122,1.6944,64,normal
214,0,0,108,1.5,64,normal
215,0,0,114,1.5833,64,normal
216,1,1,112,1.5556,64,normal
217,1,1,107,1.4861,64,normal
218,0,1,112,1.5556,64,normal
219,1,1,99,1.375,64,normal
220,0,1,115,1.5972,64,normal
221,0,1,107,1.4861,64,normal
222,0,1,104,1.4444,64,normal
223,1,1,109,1.5139,64,normal
224,1,1,120,1.6667,64,guess_passwd
225,1,1,118,1.6389,64,guess_passwd
226,1,1,118,1.6389,64,guess_passwd
227,0,1,122,1.6944,64,guess_passwd
228,0,1,113,1.5694,64,guess_passwd
229,1,1,114,1.5833,64,guess_passwd
230,0,1,125,1.7361,64,guess_passwd
231,0,1,120,1.6667,64,neptune
232,0,1,114,1.5833,64,neptune
233,0,1,105,1.4583,64,neptune
234,0,0,127,1.7639,64,neptune
235,0,0,122,1.6944,64,neptune
236,0,0,100,1.3889,64,neptune
237,0,0,107,1.4861,64,neptune
238,0,0,125,1.7361,64,guess_passwd
239,0,0,125,1.7361,64,guess_passwd
240,0,0,101,1.4028,64,guess_passwd
241,0,0,128,1.7778,64,guess_passwd
242,0,0,107,1.4861,64,guess_passwd
243,0,0,106,1.4722,64,guess_passwd
244,0,0,122,1.6944,64,guess_passwd
245,0,0,114,1.5833,64,normal
246,0,0,122,1.6944,64,normal
247,0,0,121,1.6806,64,normal
248,0,0,124,1.7222,64,normal
249,0,0,121,1.6806,64,normal
250,0,0,131,1.8194,64,normal
251,0,0,115,1.5972,64,normal
252,1,1,116,1.6111,64,httptunnel
253,1,1,128,1.7778,64,httptunnel
254,0,1,119,1.6528,64,httptunnel
255,1,1,107,1.4861,64,httptunnel
256,1,1,113,1.5694,64,httptunnel
257,0,1,110,1.5278,64,httptunnel
258,0,0,113,1.5694,64,httptunnel
259,0,0,108,1.5,64,neptune
260,0,0,108,1.5,64,neptune
261,0,0,118,1.6389,64,neptune
262,0,0,126,1.75,64,neptune
263,0,0,124,1.7222,64,neptune
264,1,1,104,1.4444,64,neptune
265,1,1,123,1.7083,64,neptune
266,1,1,111,1.5417,64,processtable
267,1,1,132,1.8333,64,processtable
268,1,1,112,1.5556,64,processtable
269,0,1,111,1.5417,64,processtable
270,1,1,95,1.3194,64,processtable
271,0,1,120,1.6667,64,processtable
272,0,1,129,1.7917,64,processtable
273,1,1,116,1.6111,64,normal
274,0,1,112,1.5556,64,normal
275,0,1,122,1.6944,64,normal
276,0,0,110,1.5278,64,normal
277,1,0,124,1.7222,64,normal
278,1,0,124,1.7222,64,normal
279,0,0,119,1.6528,64,normal
280,0,0,118,1.6389,64,normal
281,0,0,121,1.6806,64,normal
282,1,1,118,1.6389,64,normal
283,1,1,117,1.625,64,normal
284,1,1,114,1.5833,64,normal
285,1,1,119,1.6528,64,normal
286,1,1,111,1.5417,64,normal
287,0,1,108,1.5,64,normal
288,1,1,123,1.7083,64,normal
289,1,1,128,1.7778,64,normal
290,1,1,105,1.4583,64,normal
291,1,1,120,1.6667,64,normal
292,1,1,115,1.5972,64,normal
293,1,1,108,1.5,64,normal
294,0,1,114,1.5833,64,neptune
295,1,1,100,1.3889,64,neptune
296,0,1,118,1.6389,64,neptune
297,1,1,125,1.7361,64,neptune
298,0,1,121,1.6806,64,neptune
299,0,1,122,1.6944,64,neptune
300,0,1,113,1.5694,64,neptune
301,1,1,123,1.7083,64,normal
302,0,1,127,1.7639,64,normal
303,0,1,114,1.5833,64,normal
304,0,1,113,1.5694,64,normal
305,0,1,121,1.6806,64,normal
306,0,0,114,1.5833,64,normal
307,0,0,109,1.5139,64,normal
308,0,0,122,1.6944,64,neptune
309,0,0,111,1.5417,64,neptune
310,0,0,115,1.5972,64,neptune
311,0,0,96,1.3333,64,neptune
312,0,0,100,1.3889,64,neptune
313,1,0,121,1.6806,64,neptune
314,0,0,119,1.6528,64,neptune
315,0,0,114,1.5833,64,apache2
316,0,0,109,1.5139,64,apache2
317,0,0,114,1.5833,64,apache2
318,0,0,116,1.6111,64,apache2
319,1,0,108,1.5,64,apache2
320,0,0,105,1.4583,64,apache2
321,0,0,109,1.5139,64,apache2
322,0,0,121,1.6806,64,normal
323,0,0,127,1.7639,64,normal
324,0,1,111,1.5417,64,normal
325,0,1,111,1.5417,64,normal
326,0,1,122,1.6944,64,normal
327,0,1,116,1.6111,64,normal
328,0,1,123,1.7083,64,normal
329,0,1,114,1.5833,64,neptune
330,1,1,110,1.5278,64,neptune
331,0,1,121,1.6806,64,neptune
332,0,1,121,1.6806,64,neptune
333,1,1,115,1.5972,64,neptune
334,0,1,109,1.5139,64,neptune
335,0,1,116,1.6111,64,neptune
336,1,1,120,1.6667,64,neptune
337,1,1,108,1.5,64,neptune
338,1,1,110,1.5278,64,neptune
339,1,1,124,1.7222,64,neptune
340,0,1,119,1.6528,64,neptune
341,1,1,123,1.7083,64,neptune
342,0,0,107,1.4861,64,neptune
343,0,0,108,1.5,64,guess_passwd
344,0,0,107,1.4861,64,guess_passwd
345,0,0,121,1.6806,64,guess_passwd
346,0,0,106,1.4722,64,guess_passwd
347,0,0,108,1.5,64,guess_passwd
348,0,0,114,1.5833,64,guess_passwd
349,0,0,108,1.5,64,guess_passwd
350,0,0,117,1.625,64,warezmaster
351,0,0,119,1.6528,64,warezmaster
352,1,0,113,1.5694,64,warezmaster
353,0,0,117,1.625,64,warezmaster
354,0,0,111,1.5417,64,warezmaster
355,0,0,107,1.4861,64,warezmaster
356,0,0,128,1.7778,64,warezmaster
357,0,0,122,1.6944,64,normal
358,1,0,125,1.7361,64,normal
359,0,0,113,1.5694,64,normal
360,0,0,127,1.7639,64,normal
361,0,0,113,1.5694,64,normal
362,0,0,115,1.5972,64,normal
363,0,0,105,1.4583,64,normal
364,0,0,116,1.6111,64,normal
365,0,0,117,1.625,64,normal
366,0,0,106,1.4722,64,normal
367,0,0,113,1.5694,64,normal
368,0,0,105,1.4583,64,normal
369,0,0,107,1.4861,64,normal
370,0,0,114,1.5833,64,normal
371,0,0,114,1.5833,64,normal
372,0,0,107,1.4861,64,normal
373,0,0,101,1.4028,64,normal
374,0,0,114,1.5833,64,normal
375,0,0,112,1.5556,64,normal
376,0,0,123,1.7083,64,normal
377,0,0,115,1.5972,64,normal
378,0,1,109,1.5139,64,mailbomb
379,0,1,111,1.5417,64,mailbomb
380,0,1,123,1.7083,64,mailbomb
381,0,1,108,1.5,64,mailbomb
382,0,1,122,1.6944,64,mailbomb
383,0,1,118,1.6389,64,mailbomb
384,0,0,118,1.6389,64,mailbomb
385,0,0,123,1.7083,64,apache2
386,0,0,118,1.6389,64,apache2
387,0,0,105,1.4583,64,apache2
388,0,0,126,1.75,64,apache2
389,0,0,129,1.7917,64,apache2
390,1,1,122,1.6944,64,apache2
391,1,1,117,1.625,64,apache2
392,1,1,107,1.4861,64,neptune
393,0,1,110,1.5278,64,neptune
394,1,1,110,1.5278,64,neptune
395,0,1,128,1.7778,64,neptune
396,0,1,114,1.5833,64,neptune
397,1,1,113,1.5694,64,neptune
398,0,1,109,1.5139,64,neptune
399,1,1,113,1.5694,64,normal
400,0,1,102,1.4167,64,normal
401,0,1,112,1.5556,64,normal
402,0,0,106,1.4722,64,normal
403,0,0,111,1.5417,64,normal
404,0,0,104,1.4444,64,normal
405,0,0,123,1.7083,64,normal
406,0,0,112,1.5556,64,normal
407,0,0,117,1.625,64,normal
408,1,1,122,1.6944,64,normal
409,1,1,122,1.6944,64,normal
410,1,1,103,1.4306,64,normal
411,1,1,95,1.3194,64,normal
412,1,1,108,1.5,64,normal
413,0,1,121,1.6806,64,normal
414,1,1,116,1.6111,64,normal
415,1,1,110,1.5278,64,normal
416,1,1,108,1.5,64,normal
417,1,1,105,1.4583,64,normal
418,0,1,106,1.4722,64,normal
419,1,1,118,1.6389,64,normal
420,0,0,117,1.625,64,normal
421,0,0,121,1.6806,64,normal
422,0,0,107,1.4861,64,normal
423,0,0,107,1.4861,64,normal
424,0,0,111,1.5417,64,normal
425,0,0,111,1.5417,64,normal
426,1,1,103,1.4306,64,normal
427,1,1,116,1.6111,64,normal
428,1,1,118,1.6389,64,normal
429,1,1,113,1.5694,64,normal
430,1,1,109,1.5139,64,normal
431,1,1,106,1.4722,64,normal
432,1,0,110,1.5278,64,normal
433,1,0,127,1.7639,64,normal
434,0,0,116,1.6111,64,normal
435,0,0,96,1.3333,64,normal
436,0,0,120,1.6667,64,normal
437,0,0,112,1.5556,64,normal
438,0,1,128,1.7778,64,normal
439,1,1,105,1.4583,64,normal
440,0,1,130,1.8056,64,normal
441,0,1,121,1.6806,64,back
442,0,1,118,1.6389,64,back
443,0,1,114,1.5833,64,back
444,1,0,112,1.5556,64,back
445,1,0,118,1.6389,64,back
446,1,0,113,1.5694,64,back
447,0,0,117,1.625,64,back
448,1,0,105,1.4583,64,normal
449,0,0,112,1.5556,64,normal
450,0,0,106,1.4722,64,normal
451,1,0,113,1.5694,64,normal
452,0,0,118,1.6389,64,normal
453,0,0,117,1.625,64,normal
454,0,0,113,1.5694,64,normal
455,0,0,129,1.7917,64,smurf
456,0,0,118,1.6389,64,smurf
457,0,0,101,1.4028,64,smurf
458,0,0,115,1.5972,64,smurf
459,0,0,120,1.6667,64,smurf
460,0,0,103,1.4306,64,smurf
461,0,0,117,1.625,64,smurf
462,1,1,107,1.4861,64,processtable
463,1,1,101,1.4028,64,processtable
464,1,1,112,1.5556,64,processtable
465,1,1,107,1.4861,64,processtable
466,0,1,111,1.5417,64,processtable
467,1,1,114,1.5833,64,processtable
468,0,1,127,1.7639,64,processtable
469,0,1,123,1.7083,64,normal
470,0,1,121,1.6806,64,normal
471,0,1,115,1.5972,64,normal
472,0,1,126,1.75,64,normal
473,0,1,116,1.6111,64,normal
474,0,1,111,1.5417,64,normal
475,1,1,119,1.6528,64,normal
476,0,1,115,1.5972,64,neptune
477,1,1,113,1.5694,64,neptune
478,0,1,117,1.625,64,neptune
479,0,1,127,1.7639,64,neptune
480,0,0,113,1.5694,64,neptune
481,0,0,112,1.5556,64,neptune
482,0,0,108,1.5,64,neptune
483,0,0,116,1.6111,64,satan
484,0,0,116,1.6111,64,satan
485,0,0,122,1.6944,64,satan
486,0,0,119,1.6528,64,satan
487,0,0,112,1.5556,64,satan
488,0,0,120,1.6667,64,satan
489,0,0,115,1.5972,64,satan
490,1,0,116,1.6111,64,normal
491,0,0,115,1.5972,64,normal
492,0,0,108,1.5,64,normal
493,0,0,114,1.5833,64,normal
494,0,0,109,1.5139,64,normal
495,0,0,112,1.5556,64,normal
496,0,0,117,1.625,64,normal
497,0,0,121,1.6806,64,neptune
498,0,0,116,1.6111,64,neptune
499,0,0,126,1.75,64,neptune
500,0,0,123,1.7083,64,neptune
501,0,0,114,1.5833,64,neptune
502,0,0,120,1.6667,64,neptune
503,0,0,116,1.6111,64,neptune
504,1,0,117,1.625,64,normal
505,1,0,121,1.6806,64,normal
506,0,0,102,1.4167,64,normal
507,0,0,122,1.6944,64,normal
508,0,0,108,1.5,64,normal
509,0,0,115,1.5972,64,normal
510,0,0,115,1.5972,64,normal
511,0,0,117,1.625,64,processtable
512,0,0,119,1.6528,64,processtable
513,0,0,113,1.5694,64,processtable
514,0,0,114,1.5833,64,processtable
515,0,0,112,1.5556,64,processtable
516,0,1,110,1.5278,64,processtable
517,0,1,122,1.6944,64,processtable
518,0,1,123,1.7083,64,normal
519,0,1,107,1.4861,64,normal
520,0,1,109,1.5139,64,normal
521,0,1,123,1.7083,64,normal
522,0,1,122,1.6944,64,normal
523,0,1,117,1.625,64,normal
524,0,1,118,1.6389,64,normal
525,0,1,104,1.4444,64,normal
526,0,1,98,1.3611,64,normal
527,0,1,108,1.5,64,normal
528,1,0,118,1.6389,64,normal
529,1,0,123,1.7083,64,normal
530,0,0,125,1.7361,64,normal
531,0,0,99,1.375,64,normal
532,1,0,119,1.6528,64,normal
533,0,0,112,1.5556,64,normal
534,0,0,120,1.6667,64,normal
535,0,0,115,1.5972,64,normal
536,0,0,100,1.3889,64,normal
537,0,0,117,1.625,64,normal
538,0,0,116,1.6111,64,normal
539,0,0,98,1.3611,64,neptune
540,1,1,113,1.5694,64,neptune
541,1,1,116,1.6111,64,neptune
542,1,1,100,1.3889,64,neptune
543,1,1,117,1.625,64,neptune
544,1,1,96,1.3333,64,neptune
545,0,1,117,1.625,64,neptune
546,0,0,112,1.5556,64,warezmaster
547,0,0,113,1.5694,64,warezmaster
548,0,0,99,1.375,64,warezmaster
549,0,0,104,1.4444,64,warezmaster
550,0,0,104,1.4444,64,warezmaster
551,0,0,112,1.5556,64,warezmaster
552,0,0,112,1.5556,64,warezmaster
553,1,0,109,1.5139,64,mscan
554,1,0,111,1.5417,64,mscan
555,0,0,129,1.7917,64,mscan
556,0,0,113,1.5694,64,mscan
557,0,0,120,1.6667,64,mscan
558,0,1,140,1.9444,64,mscan
559,1,1,120,1.6667,64,mscan
560,0,1,110,1.5278,64,normal
561,1,1,99,1.375,64,normal
562,0,1,106,1.4722,64,normal
563,1,1,103,1.4306,64,normal
564,0,0,109,1.5139,64,normal
565,1,0,120,1.6667,64,normal
566,1,0,117,1.625,64,normal
567,0,0,115,1.5972,64,normal
568,0,0,104,1.4444,64,normal
569,0,0,111,1.5417,64,normal
570,0,0,121,1.6806,64,normal
571,0,0,120,1.6667,64,normal
572,0,0,106,1.4722,64,normal
573,0,0,106,1.4722,64,normal
574,0,0,129,1.7917,64,normal
575,0,0,114,1.5833,64,normal
576,0,0,124,1.7222,64,normal
577,0,0,120,1.6667,64,normal
578,0,0,113,1.5694,64,normal
579,0,0,108,1.5,64,normal
580,0,0,108,1.5,64,normal
581,0,0,104,1.4444,64,normal
582,1,0,112,1.5556,64,normal
583,1,0,113,1.5694,64,normal
584,0,0,106,1.4722,64,normal
585,0,0,118,1.6389,64,normal
586,1,0,123,1.7083,64,normal
587,0,0,117,1.625,64,normal
588,0,0,106,1.4722,64,normal
589,0,0,106,1.4722,64,normal
590,0,0,116,1.6111,64,normal
591,0,0,111,1.5417,64,normal
592,0,0,119,1.6528,64,normal
593,0,0,119,1.6528,64,normal
594,1,1,116,1.6111,64,normal
595,1,1,108,1.5,64,normal
596,0,1,109,1.5139,64,normal
597,1,1,103,1.4306,64,normal
598,0,1,123,1.7083,64,normal
599,0,1,117,1.625,64,normal
600,1,1,125,1.7361,64,normal
601,1,1,103,1.4306,64,normal
602,1,1,115,1.5972,64,back
603,1,1,110,1.5278,64,back
604,1,1,117,1.625,64,back
605,1,1,104,1.4444,64,back
606,0,1,109,1.5139,64,back
607,0,1,104,1.4444,64,back
608,0,1,126,1.75,64,back
609,0,1,122,1.6944,64,guess_passwd
610,0,1,122,1.6944,64,guess_passwd
611,0,1,94,1.3056,64,guess_passwd
612,0,1,110,1.5278,64,guess_passwd
613,1,1,111,1.5417,64,guess_passwd
614,0,1,117,1.625,64,guess_passwd
615,0,1,121,1.6806,64,guess_passwd
616,0,1,112,1.5556,64,normal
617,0,1,109,1.5139,64,normal
618,1,1,124,1.7222,64,normal
619,1,1,116,1.6111,64,normal
620,1,1,116,1.6111,64,normal
621,1,1,115,1.5972,64,normal
622,1,1,115,1.5972,64,normal
623,1,1,125,1.7361,64,normal
624,1,1,103,1.4306,64,normal
625,1,1,119,1.6528,64,normal
626,1,1,95,1.3194,64,normal
627,1,1,109,1.5139,64,normal
628,0,1,106,1.4722,64,normal
629,1,1,108,1.5,64,normal
630,0,0,101,1.4028,64,neptune
631,1,0,124,1.7222,64,neptune
632,1,0,115,1.5972,64,neptune
633,0,0,122,1.6944,64,neptune
634,0,0,114,1.5833,64,neptune
635,0,0,125,1.7361,64,neptune
636,1,1,122,1.6944,64,neptune
637,1,1,119,1.6528,64,normal
638,0,1,120,1.6667,64,normal
639,0,1,124,1.7222,64,normal
640,0,1,103,1.4306,64,normal
641,0,1,124,1.7222,64,normal
642,0,1,115,1.5972,64,normal
643,0,1,109,1.5139,64,normal
644,0,1,114,1.5833,64,normal
645,0,1,125,1.7361,64,normal
646,0,1,113,1.5694,64,normal
647,0,1,126,1.75,64,normal
648,1,1,113,1.5694,64,normal
649,1,1,102,1.4167,64,normal
650,1,1,118,1.6389,64,normal
651,1,1,111,1.5417,64,neptune
652,1,1,117,1.625,64,neptune
653,0,1,104,1.4444,64,neptune
654,0,0,110,1.5278,64,neptune
655,1,0,114,1.5833,64,neptune
656,0,0,103,1.4306,64,neptune
657,0,0,115,1.5972,64,neptune
658,0,0,112,1.5556,64,normal
659,0,0,107,1.4861,64,normal
660,1,1,117,1.625,64,normal
661,0,1,116,1.6111,64,normal
662,0,1,118,1.6389,64,normal
663,0,1,103,1.4306,64,normal
664,0,1,110,1.5278,64,normal
665,0,1,122,1.6944,64,normal
666,0,0,107,1.4861,64,normal
667,0,0,119,1.6528,64,normal
668,0,0,111,1.5417,64,normal
669,0,0,113,1.5694,64,normal
670,0,0,118,1.6389,64,normal
671,0,0,109,1.5139,64,normal
672,1,1,120,1.6667,64,normal
673,1,1,109,1.5139,64,normal
674,1,1,125,1.7361,64,normal
675,1,1,108,1.5,64,normal
676,0,1,110,1.5278,64,normal
677,1,1,103,1.4306,64,normal
678,1,1,115,1.5972,64,normal
679,1,1,107,1.4861,64,normal
680,0,1,111,1.5417,64,normal
681,0,1,99,1.375,64,normal
682,1,1,126,1.75,64,normal
683,0,1,116,1.6111,64,normal
684,1,1,104,1.4444,64,normal
685,0,1,105,1.4583,64,normal
686,0,1,114,1.5833,64,normal
687,1,1,118,1.6389,64,normal
688,0,1,119,1.6528,64,normal
689,0,1,107,1.4861,64,normal
690,0,0,119,1.6528,64,normal
691,1,0,110,1.5278,64,normal
692,0,0,106,1.4722,64,normal
693,0,0,124,1.7222,64,mscan
694,0,0,102,1.4167,64,mscan
695,0,0,103,1.4306,64,mscan
696,0,1,120,1.6667,64,mscan
697,0,1,108,1.5,64,mscan
698,0,1,99,1.375,64,mscan
699,0,1,114,1.5833,64,mscan
700,0,1,131,1.8194,64,neptune
701,0,1,110,1.5278,64,neptune
702,0,1,122,1.6944,64,neptune
703,1,1,109,1.5139,64,neptune
704,0,1,127,1.7639,64,neptune
705,1,1,105,1.4583,64,neptune
706,0,1,126,1.75,64,neptune
707,0,1,115,1.5972,64,warezmaster
708,1,1,120,1.6667,64,warezmaster
709,1,1,118,1.6389,64,warezmaster
710,1,1,112,1.5556,64,warezmaster
711,1,1,116,1.6111,64,warezmaster
712,1,1,136,1.8889,64,warezmaster
713,1,1,116,1.6111,64,warezmaster
714,0,0,120,1.6667,64,guess_passwd
715,0,0,117,1.625,64,guess_passwd
716,0,0,113,1.5694,64,guess_passwd
717,0,0,111,1.5417,64,guess_passwd
718,0,0,116,1.6111,64,guess_passwd
719,0,0,108,1.5,64,guess_passwd
720,0,0,110,1.5278,64,guess_passwd
721,0,0,132,1.8333,64,neptune
722,0,0,112,1.5556,64,neptune
723,0,0,109,1.5139,64,neptune
724,0,0,119,1.6528,64,neptune
725,0,0,114,1.5833,64,neptune
726,0,0,111,1.5417,64,neptune
727,0,0,107,1.4861,64,neptune
728,0,0,113,1.5694,64,neptune
729,0,0,104,1.4444,64,neptune
730,0,0,103,1.4306,64,neptune
731,0,0,113,1.5694,64,neptune
732,1,1,131,1.8194,64,neptune
733,1,1,127,1.7639,64,neptune
734,1,1,110,1.5278,64,neptune
735,1,1,105,1.4583,64,normal
736,0,1,116,1.6111,64,normal
737,0,1,114,1.5833,64,normal
738,0,0,114,1.5833,64,normal
739,0,0,128,1.7778,64,normal
740,0,0,107,1.4861,64,normal
741,0,0,118,1.6389,64,normal
742,0,0,116,1.6111,64,snmpgetattack
743,0,0,123,1.7083,64,snmpgetattack
744,1,1,117,1.625,64,snmpgetattack
